sozum,anlami,anahtar,turu2,kategori
a'dan z'ye (kadar),"baştan aşağı, tamamen, tamamıyla, bütünüyle:<i> Evini a'dan z'ye değiştirdi.</i>","a, A",Deyim,8
aba altında er yatar,giyim kuşam kişiliğe ölçü olamaz.,yatmak,Atasözü,8
aba gibi,kaba ve kalın (kumaş).,aba(II),Deyim,8
"aba vakti yaba, yaba vakti aba",gereksinimler vaktinden önce ve ucuz olduğu zaman karşılanmalıdır.,vakit,Atasözü,8
abanın kadri yağmurda bilinir,"bir şeyin gerçek değeri, ancak ona çok ihtiyaç duyulduğu zaman iyi anlaşılır.","aba, kadir, bilmek",Atasözü,9
abanoz gibi,1) çok sert:<i> Abanoz gibi tahta.</i> 2) kapkara.,abanoz,Deyim,9
abazan kalmak,1) uzun süre cinsel ilişkide bulunmamak; 2) aç kalmak.,abazan,Deyim,8
"abdal ata binince bey oldum sanır, şalgam aşa girince yağ oldum sanır","görmemiş kişi, rastlantı sonucu layık olmadığı bir duruma kavuşursa bu durum kendisinin hakkıymış gibi aptalca böbürlenir.","olmak, sanmak",Atasözü,8
"abdal düğünden, çocuk oyundan usanmaz",bir kimse sevdiği işi sürekli olarak yapmaktan bıkmaz.,usanmak,Atasözü,4
"abdal tekkede, hacı Mekke'de bulunur",herkes kendisine yakışan ve uğraştığı işle ilgili olan yerdedir.,bulunmak,Atasözü,8
"abdala 'kar yağıyor' demişler, 'titremeye hazırım (durmuşum)' demiş","varlıklılar için sıkıntı olabilecek bir durum, yoksullar için söz konusu bile olmaz.","yağmak, titremek, demek",Atasözü,2
abdala malum olur,bir şeyin olacağını önceden sezen kimseler için söylenen bir söz.,olmak,Atasözü,4
abdalın dostluğu köy görününceye kadar,"çıkarı dolayısıyla yakınlık gösteren kimse, işini yürütecek başkalarını bulduğunda sizinle ilgisini keser.","dostluk, görünmek",Atasözü,8
abdalın karnı doyunca gözü pabucundadır (yolda olur),çıkarına düşkün kimselerin arkadaşlığı işi bitinceye kadardır.,"karın, doymak, pabuç",Atasözü,8
"abdalın yağı çok olursa gâh borusuna çalar, gâh gerisine","varlıklı ama akılsız ve hesapsız kişi malını gereksiz yerlere harcar, telef eder.",çalmak,Atasözü,9
abdest almak,"1) Müslümanlar, belli ibadetleri yapabilmek için bir düzen içerisinde bazı organları yıkayıp bazılarını mesh ederek arınmak; 2) boy abdesti almak.",abdest,Deyim,7
abdest bozmak,idrar veya dışkı yapmak.,abdest,Deyim,8
abdest tazelemek,abdesti bozulmadığı hâlde yeniden abdest almak.,abdest,Deyim,7
abdesti gelmek,abdest bozmaya gereksinim duymak.,abdest,Deyim,8
abdesti kaçmak,abdesti bozulmak.,abdest,Deyim,8
abdestinde namazında olmak,dindar olmak.,abdest,Deyim,1
abdestinden şüphesi olmamak,yaptığı işte kusuru olmadığını kesin olarak bilmek.,abdest,Deyim,8
abdestsiz sofuya namaz mı dayanır,"kurallara, koşullara uyulmadıktan sonra bir sürü iş yapılabilir.",dayanmak,Atasözü,4
abdestsiz yere basmamak,dinî kurallara titizlikle bağlı olmak.,,Deyim,1
abesle iştigal etmek (uğraşmak),"yersiz, yararsız işlerle vakit öldürmek:<i> 'Yazarlarımızın çoğu yalnızca kendi ürünlerinin ne amaçla üretildiğini sayıp dökerek bir anlamda abesle iştigal ediyorlar.' -</i>T. Uyar.",abes,Deyim,6
abıhayat içmiş,yaşı çok ilerlemiş olmasına karşın genç görünen (kimse).,abıhayat,Deyim,9
"abliyi kaçırmak (bırakmak, koyuvermek)",1) soğukkanlılığını yitirip davranışlarını denetleyememek; 2) şaşırıp ne yapacağını bilememek.,,Deyim,8
ablukayı yarmak,kuşatılan bölgeden zor kullanarak dışarı çıkmak.,abluka,Deyim,8
abuk sabuk konuşmak,"ne söylediğini bilmeden, düşüncesiz, tutarsız konuşmak.",abuk sabuk,Deyim,8
acayibine gitmek,"yadırgamak, tuhafına gitmek.",acayip,Deyim,8
acele ile menzil alınmaz,acele etmekle daha çabuk sonuç alınır sanılmamalıdır.,alınmak,Atasözü,8
acele ile yürüyen yolda kalır,"iş yaparken acele eden şaşırır, işini bitiremez.","yürümek, kalmak",Atasözü,8
acele işe şeytan karışır,düşünüp taşınmadan ivedi olarak yapılan işten iyi sonuç alınamaz.,karışmak,Atasözü,8
acele işin sonu pişmanlık,acele ederek yaptığımız işten istediğimiz sonucu alamayabiliriz.,,Atasözü,8
Acem kılıcı gibi,"her iki tarafı da idare edebilen, güvenilmez (kimse).",Acem kılıcı,Deyim,8
